TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
13,,38,37,35,37,39,36,37,38,32,37,36,36,34,34,37,40,37,37,37,37,34,37,37,38,36
14,,40,37,35,38,40,36,38,39,32,37,36,36,36,34,37,39,37,37,37,37,35,37,36,39,37
15,,40,37,35,37,40,36,39,40,30,39,36,36,41,33,37,39,37,37,39,37,35,37,36,39,37
16,,40,34,33,35,40,31,35,40,28,34,33,36,37,30,35,38,35,36,37,37,34,36,36,34,34
17,,37,28,29,32,36,28,27,36,25,30,31,30,27,25,27,30,32,28,32,30,28,30,30,29,28
18,,33,28,26,31,32,25,27,32,23,28,27,28,25,22,27,28,31,28,30,32,29,27,27,29,23
19,,30,28,25,26,29,24,24,29,21,27,27,27,19,21,25,29,26,25,28,27,25,27,25,26,25
20,,28,27,25,29,28,22,24,28,21,25,26,28,19,22,24,25,29,25,27,25,24,27,23,25,25
21,,27,27,24,24,26,27,23,26,21,25,24,28,18,22,24,24,19,23,28,22,23,28,21,25,21
22,,26,25,23,27,26,24,19,25,21,25,24,23,17,27,23,23,19,28,30,21,22,25,21,24,25
23,,25,23,23,23,25,23,20,24,21,25,23,21,16,24,23,22,23,19,25,25,22,25,18,23,23
00,,24,27,22,24,24,24,22,23,21,23,23,21,13,28,23,21,24,21,23,21,23,25,18,23,23
01,,23,23,21,20,22,24,19,20,21,23,23,21,18,22,21,20,20,18,27,21,23,25,18,22,21
02,,22,21,23,22,22,23,18,19,21,21,21,18,18,28,22,20,22,18,23,19,21,23,18,20,21
03,,21,21,23,17,21,24,18,18,21,25,21,19,19,28,21,20,17,19,23,21,22,23,18,18,23
04,,21,21,24,18,21,23,20,17,21,23,23,18,23,28,21,21,18,18,23,21,22,21,19,19,19
05,,20,19,25,13,21,22,21,16,21,21,23,19,25,31,23,20,13,19,23,21,23,23,20,18,21
06,,19,18,15,18,18,21,22,16,21,19,26,20,23,32,24,21,18,19,27,20,23,23,21,18,22
07,,19,19,14,20,17,21,24,15,21,21,27,22,23,32,23,21,20,21,32,19,23,23,22,17,21
08,,19,28,12,28,17,27,28,15,23,27,28,23,30,34,28,25,28,28,32,25,28,30,23,25,27
09,,24,32,20,33,24,32,32,23,23,32,32,30,37,34,34,34,33,33,36,30,32,32,34,33,34
10,,29,36,25,40,29,37,37,29,23,39,38,34,41,36,39,41,40,37,37,37,34,37,41,38,37
11,,33,39,35,43,33,38,40,35,28,43,38,37,43,36,41,43,43,39,37,41,35,41,45,41,41
12,,36,41,38,45,36,41,43,39,28,45,41,39,43,38,40,44,45,43,41,45,36,43,45,42,43
13,,38,42,38,46,39,43,44,43,28,45,42,41,35,37,41,46,46,45,41,46,35,43,45,42,43
14,,40,42,38,47,40,42,45,45,28,45,42,43,37,37,41,47,47,45,39,46,36,43,45,42,43
15,,40,43,38,47,40,39,44,46,27,45,42,43,43,38,42,47,47,45,37,46,35,43,45,42,43
16,,40,37,37,45,40,35,41,46,25,43,39,41,43,35,39,43,45,39,36,43,33,43,43,40,39
17,,37,32,33,41,36,32,34,42,23,39,36,34,32,34,34,40,41,39,34,37,29,36,39,35,34
18,,34,28,28,39,32,30,30,37,23,36,32,32,32,34,29,34,39,32,34,34,28,32,32,29,29
19,,26,28,29,38,30,27,29,34,23,32,32,30,27,34,28,29,38,28,32,30,27,30,28,28,27
20,,23,27,28,34,28,26,27,32,25,25,28,28,25,33,27,29,34,25,32,27,25,28,27,25,25
21,,21,28,26,33,27,23,25,31,27,27,27,27,21,30,25,26,27,27,30,27,26,28,25,26,25
22,,20,27,28,34,26,22,24,29,27,25,26,27,19,27,25,25,25,27,30,25,25,27,25,23,24
23,,19,23,24,25,26,20,22,28,27,23,21,25,18,25,22,24,25,23,28,25,23,27,23,22,23
00,,20,21,23,27,25,20,23,27,27,23,24,23,18,23,22,24,27,21,27,25,25,23,23,22,21
01,,21,21,22,26,23,22,21,24,23,23,24,21,18,25,21,24,26,21,27,23,24,23,23,22,21
02,,19,21,22,26,23,22,22,23,27,23,27,21,18,24,21,23,26,21,25,23,21,23,21,22,19
03,,21,21,23,25,22,21,21,22,27,23,35,21,15,23,20,24,25,19,28,23,23,23,19,20,21
04,,21,21,24,26,22,23,19,21,28,23,25,21,19,23,19,24,26,19,28,23,24,23,19,20,19
05,,22,23,25,25,22,23,19,20,30,23,25,23,21,22,21,24,25,19,28,21,27,23,21,22,21
06,,26,28,25,28,19,29,21,19,32,27,27,23,25,31,25,20,28,19,28,23,27,27,28,27,27
07,,28,30,25,30,18,31,27,18,32,30,28,23,28,33,25,24,30,27,30,35,28,32,30,29,28
08,,32,32,28,34,18,33,36,18,34,34,30,30,32,42,30,24,34,36,32,37,31,34,32,30,30
09,,39,37,33,37,27,36,40,25,34,37,30,34,36,45,36,30,37,46,32,37,34,37,37,37,35
10,,34,39,40,41,33,39,48,31,36,43,30,34,37,49,36,37,41,48,32,48,36,43,43,38,39
11,,44,45,46,48,38,42,51,37,32,46,34,37,39,49,37,42,48,50,37,52,41,45,45,41,41
12,,42,46,50,52,42,46,52,41,32,48,39,43,43,50,41,52,52,51,45,54,42,46,48,43,44
13,,44,46,50,53,45,46,50,44,34,52,45,46,46,51,46,52,53,48,47,54,44,48,54,48,46
14,,46,46,51,54,47,47,49,46,44,54,46,50,41,52,48,52,53,48,50,52,45,52,54,50,49
15,,46,46,50,55,47,46,50,47,50,54,48,50,41,52,49,51,52,51,50,52,46,52,54,50,50
16,,52,46,48,52,47,44,48,47,49,50,48,50,41,52,46,49,52,49,46,50,45,50,54,48,46
17,,44,37,43,48,43,39,44,44,45,46,44,39,39,50,39,46,48,46,43,48,43,43,46,42,43
18,,43,32,37,46,40,34,41,40,42,39,42,34,36,49,34,45,46,45,41,46,41,36,39,39,32
19,,39,30,36,39,37,32,41,38,32,34,40,32,34,48,34,44,39,43,34,45,40,32,36,32,39
20,,38,30,33,41,36,28,38,37,32,34,39,34,33,47,32,42,41,37,37,43,39,30,32,31,36
21,,37,28,38,39,35,28,42,35,32,30,39,32,32,45,34,42,43,42,37,40,34,32,36,28,40
22,,37,28,38,36,34,26,37,34,32,30,37,32,32,42,30,42,34,43,37,38,28,32,32,29,39
23,,36,28,35,39,33,22,37,34,32,28,35,30,31,40,28,40,39,36,41,36,28,28,30,28,37
00,,36,28,37,32,33,29,32,33,30,35,31,36,30,39,28,38,32,34,43,34,35,27,28,28,36
01,,35,32,35,37,31,33,33,31,30,34,36,39,29,39,36,36,37,36,41,34,35,35,28,26,36
02,,34,32,34,39,31,32,35,30,28,32,37,39,28,39,37,35,39,36,39,34,35,37,25,35,34
03,,34,30,32,34,30,27,35,29,28,30,36,36,27,37,36,34,34,37,41,34,35,37,25,36,33
04,,33,32,32,32,30,28,34,28,28,32,34,30,26,37,34,32,32,36,37,32,33,37,27,37,38
05,,33,36,31,32,29,28,34,27,27,32,35,30,26,37,34,31,32,39,37,28,35,37,27,38,36
06,,32,37,30,33,27,28,34,26,27,36,35,29,25,37,36,31,33,37,36,27,34,37,27,35,35
07,,32,37,31,33,26,29,33,26,27,36,35,28,25,37,36,34,33,32,36,32,33,37,28,35,34
08,,32,39,32,37,26,35,38,26,27,37,38,32,25,38,37,39,37,39,37,37,37,39,34,38,37
09,,38,45,34,42,35,40,43,34,28,43,40,39,30,39,41,45,42,45,41,45,41,43,41,42,42
10,,43,46,37,45,42,46,47,40,32,46,41,41,34,41,43,48,45,46,41,48,42,45,45,45,45
11,,48,46,39,48,48,49,48,46,32,48,43,43,38,42,45,50,48,48,45,48,45,46,46,47,46
12,,51,50,42,49,52,50,49,50,34,48,44,46,41,44,46,51,49,50,45,52,47,50,48,48,47
13,,53,52,47,51,55,50,50,54,36,48,46,46,44,44,48,52,51,52,46,52,47,50,50,48,48
14,,55,52,49,52,57,50,50,56,37,50,48,50,46,46,49,54,52,50,50,52,47,50,50,49,48
15,,55,50,48,52,57,49,49,57,36,48,48,50,46,44,48,53,52,50,50,50,47,50,50,50,48
16,,55,46,46,51,57,41,47,57,36,46,45,50,46,42,46,50,51,46,46,46,45,46,50,47,46
17,,51,37,39,46,53,41,42,54,36,43,42,39,44,41,39,44,46,41,43,43,39,43,43,41,37
18,,46,32,39,44,49,40,34,50,34,39,38,36,41,41,36,39,44,37,37,34,35,36,37,39,33
19,,35,32,38,44,33,32,33,34,34,36,34,34,30,41,32,34,44,34,34,30,32,32,32,34,30
20,,28,30,37,43,28,30,29,28,34,32,30,34,27,40,31,37,43,30,41,32,31,32,28,32,27
21,,28,30,36,40,29,28,29,29,36,28,32,34,25,39,31,32,32,32,32,29,29,32,27,30,26
22,,27,28,36,38,28,33,28,28,34,28,31,36,24,39,30,31,30,30,34,28,29,32,27,28,27
23,,27,28,30,35,28,35,26,28,34,30,31,37,23,40,28,31,35,27,32,28,27,34,27,28,27
00,,27,28,28,36,28,34,25,28,34,32,29,30,23,39,28,29,36,27,32,28,27,32,27,28,26
01,,33,28,27,34,28,32,25,28,36,32,26,30,23,39,28,30,34,25,32,27,25,32,27,30,27
02,,32,30,26,34,26,32,26,26,37,34,28,30,23,40,29,30,34,25,34,28,25,34,27,30,30
03,,31,28,26,34,27,32,26,27,37,34,26,30,23,40,28,29,34,25,30,27,27,32,27,31,26
04,,27,30,26,33,28,30,28,28,37,34,25,30,21,30,27,30,33,25,34,28,30,34,23,26,28
05,,28,28,25,32,36,33,28,36,37,34,27,30,25,29,27,30,32,25,36,32,27,34,25,30,28
06,,28,30,27,32,36,32,30,36,37,34,25,30,25,30,28,30,32,27,37,32,27,32,25,30,30
07,,30,32,27,28,35,35,28,35,36,34,28,30,27,32,28,30,28,32,32,36,31,34,25,31,30
08,,39,37,30,36,30,40,40,30,37,36,33,32,39,39,33,43,36,37,41,39,38,39,32,36,37
09,,39,46,33,41,35,47,45,35,41,43,40,37,43,49,41,47,41,45,43,45,44,45,43,41,42
10,,50,50,37,44,46,53,52,46,43,48,46,43,50,51,46,51,44,52,50,52,50,52,48,49,46
11,,52,52,41,47,50,53,55,50,45,54,51,45,40,53,52,56,47,57,50,54,54,55,52,52,52
12,,52,57,45,50,53,57,58,53,45,53,53,50,43,52,55,59,50,59,54,57,56,57,54,55,55
13,,53,59,46,53,53,57,58,53,46,53,55,52,45,53,58,57,53,57,54,57,58,57,54,57,58
14,,53,59,49,54,53,58,58,53,46,53,55,54,47,53,56,57,54,55,54,59,56,57,54,57,57
15,,53,57,51,54,57,54,57,57,46,52,53,54,47,51,55,57,54,55,54,55,56,57,52,54,54
16,,51,54,50,53,54,52,53,54,45,52,51,52,47,48,52,54,53,52,54,54,52,52,50,52,50
17,,45,52,47,46,46,50,50,46,45,50,49,50,54,46,50,51,46,48,50,48,50,46,48,49,46
18,,42,50,43,48,46,49,47,46,43,48,46,43,52,47,47,48,48,45,46,46,50,46,43,49,45
19,,44,46,40,45,48,44,46,50,41,45,40,39,41,46,39,48,45,45,46,46,48,41,41,46,41
20,,42,41,42,45,46,43,46,48,41,43,43,43,40,49,37,46,45,46,45,46,49,39,37,43,45
21,,41,41,42,45,45,42,41,47,41,41,42,46,39,49,41,45,43,48,41,46,46,41,39,44,45
22,,40,46,42,45,44,45,37,46,41,41,40,46,39,49,39,42,41,46,43,39,44,43,39,44,45
23,,39,46,45,45,44,46,37,45,37,41,40,43,38,47,44,41,45,36,41,41,46,45,39,44,44
00,,38,45,44,45,43,45,43,45,37,43,40,43,38,48,45,42,45,37,41,41,48,45,39,45,40
01,,37,45,42,44,42,44,44,43,39,45,40,45,36,47,43,39,44,36,43,43,48,45,41,45,41
02,,36,41,40,42,41,42,44,42,41,45,42,43,36,46,41,39,42,37,43,45,45,45,39,45,43
03,,35,46,38,42,41,44,42,41,41,45,42,39,35,47,39,40,42,37,41,45,44,45,39,42,44
04,,35,45,37,43,41,44,44,41,40,45,41,39,34,47,38,40,43,37,39,43,44,45,39,43,43
05,,34,43,36,42,40,41,44,40,40,45,41,41,34,47,38,43,42,37,37,43,44,45,39,40,43
06,,33,42,36,42,38,42,42,39,39,45,40,41,33,47,38,43,42,39,39,43,44,44,41,40,40
07,,33,42,35,42,37,45,43,39,32,45,40,41,33,46,39,46,42,39,41,43,46,43,41,43,39
08,,33,41,34,43,37,48,46,39,32,45,40,39,33,45,40,49,43,45,41,45,45,43,41,42,40
09,,38,41,37,43,44,47,50,43,32,45,40,39,39,46,41,52,43,50,41,46,43,43,41,42,42
10,,43,45,36,43,48,45,51,47,32,45,40,39,43,49,41,48,43,54,41,52,42,43,43,42,45
11,,47,45,37,44,52,45,51,50,32,45,40,41,48,50,41,49,44,54,43,50,44,45,43,43,45
12,,49,45,37,46,55,47,51,52,32,45,41,41,51,48,41,51,46,52,45,48,45,45,43,44,45
13,,52,45,36,47,58,46,47,54,32,45,43,43,54,49,42,53,47,48,45,46,45,45,45,42,45
14,,53,45,37,49,59,45,45,55,32,45,43,43,55,48,43,54,49,46,45,48,45,45,45,43,45
15,,53,45,36,48,59,44,45,56,30,45,43,43,56,46,42,52,48,46,43,50,45,45,45,44,45
16,,53,45,35,46,59,44,45,56,28,45,42,43,56,43,42,49,46,46,41,46,45,45,45,44,44
17,,50,45,33,44,54,44,45,52,28,45,41,37,52,43,41,47,44,45,41,45,44,45,45,42,43
18,,46,45,32,45,50,44,46,48,27,45,38,41,48,42,41,47,45,45,37,45,41,45,43,41,42
19,,43,43,32,43,47,44,45,46,27,45,37,39,45,41,40,46,43,45,37,45,40,43,37,41,42
20,,42,41,31,42,45,42,45,44,27,44,35,38,44,41,38,45,42,45,37,45,39,43,36,41,42
21,,40,41,30,41,43,41,44,42,25,42,34,38,42,42,36,44,39,45,36,45,39,43,32,38,42
22,,39,39,29,40,42,39,42,41,23,41,33,37,41,42,34,40,37,44,36,42,38,43,32,37,41
23,,39,39,29,39,41,39,42,40,22,40,33,36,40,41,34,38,39,41,34,43,38,39,36,34,40
00,,38,39,28,38,40,38,42,39,22,37,33,36,39,40,34,37,38,41,34,43,38,37,37,34,39
01,,36,38,27,37,38,34,39,37,21,37,32,34,36,39,33,37,37,39,34,43,37,37,37,36,38
02,,35,38,27,36,38,32,38,35,21,37,33,34,35,39,32,38,36,39,32,41,36,37,37,33,37
03,,34,38,26,36,37,32,34,34,20,37,32,34,34,37,33,38,36,36,32,39,36,37,36,33,34
04,,34,37,25,34,37,33,37,33,20,36,30,34,32,37,32,38,34,37,23,39,36,37,34,33,32
05,,33,37,24,33,36,34,38,32,19,34,28,32,32,37,31,37,33,37,30,39,35,37,34,32,32
06,,32,34,24,33,33,35,38,32,19,32,28,32,31,37,32,36,33,37,30,39,35,34,34,32,32
07,,32,34,25,31,32,34,37,31,18,32,28,30,30,37,31,35,31,37,30,36,35,34,34,33,32
08,,32,36,25,33,32,35,37,31,18,34,29,32,30,37,32,35,33,37,30,36,35,34,36,33,32
09,,36,37,25,35,37,37,37,35,19,34,31,34,33,39,33,35,35,37,32,36,35,37,36,34,33
10,,40,37,25,37,40,38,38,38,19,36,32,34,36,40,35,37,37,37,28,37,35,37,39,36,33
11,,43,37,26,39,43,38,40,41,19,36,33,34,38,41,36,38,39,41,29,39,36,39,39,38,35
12,,45,37,27,41,45,40,39,43,19,36,36,36,40,40,37,38,41,41,30,39,36,41,41,39,37
13,,47,37,26,42,47,41,41,44,19,36,36,36,42,38,38,39,42,39,30,39,37,39,39,39,37
14,,48,37,27,42,48,40,41,46,19,37,36,36,43,39,38,41,42,43,30,39,37,39,41,39,38
15,,48,37,27,40,48,38,40,46,19,37,35,36,43,38,38,40,40,39,34,39,36,37,39,38,38
16,,48,37,26,36,48,36,39,46,19,37,33,34,43,36,35,39,36,39,32,39,35,37,39,37,36
17,,45,36,25,33,44,33,37,43,19,37,30,34,40,37,33,33,33,37,30,37,34,37,37,34,34
18,,41,32,24,32,40,30,33,40,19,34,29,32,38,37,31,35,32,36,30,34,33,34,34,33,33
19,,32,32,23,30,34,28,33,34,19,34,28,30,30,36,30,35,30,34,30,34,33,34,34,31,32
20,,30,32,23,27,32,30,32,33,19,32,27,30,28,36,30,34,27,34,30,34,33,32,32,30,31
21,,28,32,22,28,31,28,33,31,19,32,27,30,28,36,28,33,28,34,30,32,32,32,30,30,30
22,,28,32,22,27,31,28,31,31,21,30,27,30,28,35,29,32,28,33,30,31,32,32,30,30,29
23,,27,30,22,27,30,29,30,30,21,30,26,30,28,34,30,30,27,30,28,28,32,32,28,30,29
00,,28,30,22,27,29,28,29,29,23,30,26,30,28,34,29,30,27,30,32,28,31,30,28,29,28
01,,28,30,21,27,28,28,29,28,21,30,26,30,28,33,26,29,27,28,32,27,30,32,28,27,28
02,,29,30,21,25,27,28,29,27,23,28,25,30,27,32,26,29,25,28,32,27,29,30,27,27,28
03,,30,30,21,25,27,28,29,27,23,28,27,29,27,32,26,29,25,28,32,27,29,30,27,26,27
04,,28,30,22,25,26,28,29,26,25,28,26,29,25,32,25,29,25,27,32,27,29,30,27,23,28
05,,28,28,22,25,26,28,28,26,27,28,24,28,27,32,25,29,25,27,32,27,30,30,27,27,28
06,,28,28,22,26,26,29,28,26,28,28,26,28,27,33,26,29,26,27,32,28,30,30,27,27,29
07,,27,32,24,26,25,30,29,26,28,30,25,30,28,33,29,29,26,28,34,28,30,30,27,27,30
08,,34,34,28,31,33,33,33,33,28,34,33,32,38,35,32,34,31,32,37,34,33,34,32,34,33
09,,42,37,35,35,38,38,39,38,30,39,41,36,39,37,36,39,35,37,41,39,36,39,39,38,36
10,,46,41,39,42,44,42,45,44,30,45,44,41,45,38,42,45,42,44,38,45,39,43,45,42,41
11,,37,45,36,49,38,45,48,52,40,46,49,45,33,40,45,50,49,46,46,48,41,45,48,47,44
12,,39,46,36,53,40,46,50,42,47,50,52,50,35,43,49,52,53,52,50,52,42,46,52,50,47
13,,41,46,40,56,42,48,51,44,50,50,54,50,37,45,54,55,56,52,51,51,44,50,52,53,48
14,,42,46,41,57,43,48,52,45,51,52,55,52,38,45,54,57,57,54,53,50,46,52,54,55,49
15,,42,46,42,57,43,47,51,46,51,52,55,52,38,43,54,57,57,51,53,49,46,52,52,56,50
16,,42,46,50,55,43,43,48,46,52,48,51,52,38,41,51,53,55,48,52,48,40,48,50,53,47
17,,40,37,43,50,44,41,37,44,46,45,46,41,41,39,44,45,50,39,44,46,38,39,45,46,35
18,,36,34,38,44,43,33,35,41,42,36,43,36,34,39,41,38,44,37,40,39,34,39,37,42,34
19,,35,34,35,45,34,34,31,37,41,36,42,34,30,32,38,34,45,34,36,34,34,34,37,38,36
20,,34,37,30,43,33,35,30,35,38,36,40,34,30,33,36,34,43,32,36,34,31,37,28,38,37
21,,33,34,30,39,32,36,29,33,34,34,41,32,30,37,34,31,32,37,34,31,29,34,30,32,37
22,,32,32,27,43,31,37,29,32,32,30,31,32,28,38,37,31,28,32,32,28,36,32,28,29,29
23,,32,32,26,38,31,36,29,31,32,31,32,30,30,41,32,33,36,27,32,28,33,36,28,32,33
00,,31,34,26,36,30,34,27,31,32,32,30,30,27,42,34,30,36,28,34,28,30,34,28,34,34
01,,30,34,24,39,28,33,28,28,32,32,29,28,28,42,34,29,39,27,32,28,30,37,27,34,37
02,,29,32,23,34,28,30,32,27,32,30,29,28,27,41,30,29,34,25,32,30,30,34,27,30,30
03,,29,30,21,33,28,30,31,26,32,31,30,28,25,40,34,28,33,27,30,28,29,34,27,30,34
04,,28,30,21,30,27,27,33,25,32,31,29,28,27,43,30,26,30,27,25,28,29,32,28,31,27
05,,28,32,20,30,27,26,31,24,36,32,30,28,25,40,29,28,30,27,30,28,30,32,30,29,27
06,,27,34,20,28,25,31,31,24,30,34,29,28,23,40,30,26,28,27,32,34,38,32,32,28,29
07,,27,36,20,25,24,33,33,23,36,34,31,28,26,42,30,31,25,25,36,27,37,34,34,30,28
08,,27,37,24,35,24,41,43,23,37,39,35,36,37,49,38,40,35,38,43,39,43,45,36,36,40
09,,35,46,31,44,35,47,50,31,45,48,43,43,46,52,46,47,44,52,50,46,47,52,46,45,48
10,,43,52,35,50,42,55,56,38,45,54,50,50,55,54,52,56,50,52,52,52,52,57,55,53,53
11,,49,59,41,52,48,59,60,44,46,57,52,52,43,55,57,59,52,53,55,59,56,61,59,59,57
12,,53,64,46,56,53,61,63,49,52,61,55,55,47,56,60,61,56,63,59,61,60,63,61,62,60
13,,57,68,45,55,57,63,63,53,54,63,56,57,50,54,61,62,55,63,59,63,62,63,61,65,62
14,,59,66,45,56,59,64,63,55,50,61,56,57,52,54,60,62,56,54,57,61,63,63,59,61,61
15,,59,61,43,54,59,62,61,56,46,59,55,57,53,53,58,60,54,59,54,59,61,61,59,61,59
16,,59,59,42,53,59,52,56,56,45,55,53,54,57,52,56,57,53,52,55,57,59,57,57,55,55
17,,56,52,40,51,53,48,53,52,43,48,52,52,48,52,49,52,51,48,52,54,44,52,52,52,52
18,,52,52,39,50,48,50,46,48,41,50,50,50,48,51,48,49,50,45,44,46,45,50,52,51,50
19,,49,45,38,49,44,44,48,45,37,48,48,50,44,51,51,49,49,45,50,46,43,52,48,50,50
